title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team,combined_text,id,topic
Duplicate of Uncontrolled Diabetes Prediction and Fairness Measurement,"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) outlines that they wish to ""Advance understanding of biological pathways and environmental contributors to health and disease."". Also, ""NIDDK is particularly interested in applications advancing methods related to health equity…","Scientific Questions Being Studied
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) outlines that they wish to ""Advance understanding of biological pathways and environmental contributors to health and disease."". Also, ""NIDDK is particularly interested in applications advancing methods related to health equity research, as well as methods that would help to advance research on sex/gender differences, sexual and gender minority-related research and racial/ethnic diversity "".
This workbench aims to validate the study of Abegaz et al. (https://www.mdpi.com/2227-9032/11/8/1138) and to uncover fairness in the way in which the model predicts on certain patients. This entails measuring the difference in AUC and statistical parity between different genders and ethnicies.","Project Purpose(s)
Disease Focused Research (diabetes mellitus)
Methods Development","Scientific Approaches
The first part of the study will be on constructing a classification model to automatically predict if a person has diabetes. There exist many such models for this like random forrest models, gradient boosted trees, artificial neural networks and simple logistic regression. The notebook will examine ways to mitigate the effects of being underrepresented in the dataset using method like Random Over Sampling and Interpolated Over Sampling (like SMOTE).","Anticipated Findings
The study expects to find classification models to predict most correctly on well represented groups within the All of Us Dataset. If there is a significant disparity of model fairness between genders or ethnicities  then this would call for more validation studies of other papers which do not examine fairness on protected features.
Decision trees, convolutional neural networks, and encoder decoder networks can be used to find latent feature representations of the highly dimensional datasets. These methods are useful in finding important features used in the prediction process, and can be used to see the importance of sensitive variables like race and gender in classification. We can also stratify the dataset by race and gender and see if certain features are important for some groups but not for others.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Zain Jabbar
- Graduate Trainee, University of Hawaii at Manoa
Collaborators:
Jeremiah Dy - Undergraduate Student, University of Hawaii at Manoa","Duplicate of Uncontrolled Diabetes Prediction and Fairness Measurement National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) outlines that they wish to ""Advance understanding of biological pathways and environmental contributors to health and disease."". Also, ""NIDDK is particularly interested in applications advancing methods related to health equity…",diab-115,diabetes
Monogenic Diabetes,Genetic Analysis of Mody/ Monogenic diabetes. We are looking at known monogenic diabetes variants and their phenotypes.,"Scientific Questions Being Studied
Genetic Analysis of Mody/ Monogenic diabetes. We are looking at known monogenic diabetes variants and their phenotypes.","Project Purpose(s)
Disease Focused Research (monogenic disease)","Scientific Approaches
We will use the genetic dataset of All of Us, R code on Jupyter Notebooks, and statistical regression to display the correlation of genes to their phenotypes, which will be pulled from ICD codes and other health record information.","Anticipated Findings
Findings we anticipate are gene variant associations to phenotypes within the genes known to be risk factors for MODY. Our findings could help us better understand MODY and create a clearer understanding of its various components and complications. MODY disproportionately affects non-European ancestry. With the AoU dataset, we can provide a more robust analysis of MODY because of the greater genetic diversity available to us in this dataset.","Demographic Categories of Interest
Race / Ethnicity
Age","Data Set Used
Controlled Tier","Research Team
Owner:
Breckin Forstrom
- Undergraduate Student, Brigham Young University
Collaborators:
Mary Davis - Early Career Tenure-track Researcher, Brigham Young University
Christian Betteridge - Undergraduate Student, Brigham Young University",Monogenic Diabetes Genetic Analysis of Mody/ Monogenic diabetes. We are looking at known monogenic diabetes variants and their phenotypes.,diab-116,diabetes
Gene by physical activity interaction effects on the risk of type 2 diabetes,"Regular physical activity (PA) is associated with reduced risk of Type 2 Diabetes (T2D), but the metabolic benefits of PA vary across individuals. While many factors could modify the PA-T2D association, this project seeks to understand the role that genetics…","Scientific Questions Being Studied
Regular physical activity (PA) is associated with reduced risk of Type 2 Diabetes (T2D), but the metabolic benefits of PA vary across individuals. While many factors could modify the PA-T2D association, this project seeks to understand the role that genetics plays, by studying gene by PA interactions on the risk of T2D.  Specifically, the project will address two questions:
Question 1: Is there evidence for gene by PA interaction on T2D risk?
Question 2: If gene by PA interaction on T2D risk  exists, what is the biology driving this interaction?
These two questions are important and relevant. While knowing genetic factors that set people apart enables precision health, understanding the biology driving the separation lays the ground work for design interactions that harness the full metabolic benefits of PA.","Project Purpose(s)
Disease Focused Research (type 2 diabetes mellitus)
Methods Development
Ancestry","Scientific Approaches
We will base our analyses on participants who have available genotype data along with  accelerometer-derived physical activity (PA) and type 2 diabetes (T2D) diagnosis status. To show evidence of gene by PA interaction (i.e., question 1), we will conduct a genome-wide association study on T2D risk by fitting a univariate linear-mixed model to test one Single Nucleotide Polymorphism (SNP) at a time for SNP x PA interaction effect. To infer the biology driving the interaction (i.e.,  question 2), we will conduct functional analyses of identified SNPs that interact with PA . This includes fine-mapping analyses o infer causal SNPs, SNP enrichment analyses to infer cell types in which causal SNPs act, and colocalization analyses to prioritize genes regulated by the causal SNPs.","Anticipated Findings
We expect to show gene  by physical activity interaction effects on type 2 diabetes risk and to generate plausible hypotheses about the biology behind the interaction effects. These findings are important and relevant. While knowing genetic factors contributing to individual differences in the metabolic benefits of physical activity enables precision health, understanding the biology behind the individual differences lays the ground work for design interactions that harness the full metabolic benefits of physical activity.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
xuan zhou
- Research Fellow, University of Copenhagen","Gene by physical activity interaction effects on the risk of type 2 diabetes Regular physical activity (PA) is associated with reduced risk of Type 2 Diabetes (T2D), but the metabolic benefits of PA vary across individuals. While many factors could modify the PA-T2D association, this project seeks to understand the role that genetics…",diab-117,diabetes
Health disparities - AoU,"Examine Diabetes, Peripheral Artery Disease and Limb Amputation Disparities in Black and White participants.","Scientific Questions Being Studied
Examine Diabetes, Peripheral Artery Disease and Limb Amputation Disparities in Black and White participants.","Project Purpose(s)
Disease Focused Research (PAD, type 2 diabetes mellitus, amputation)
Population Health
Social / Behavioral
Ethical, Legal, and Social Implications (ELSI)","Scientific Approaches
Mixed linear model will be used on observational longitudinal data, and machine learning methods will be used to explore association between factors. R and python will be used on jupyter notebook.","Anticipated Findings
Identify actors leading to the earlier onset of co-occurring PAD in individuals with diabetes and the identification of contributing factors (on the part of patients and health care providers) that lead to the decision to amputate a limb more often in Black patients than other populations.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Xiao Zhang
- Project Personnel, Xavier University of Louisiana
Collaborators:
Chamika Hawkins-Taylor - Early Career Tenure-track Researcher, Xavier University of Louisiana","Health disparities - AoU Examine Diabetes, Peripheral Artery Disease and Limb Amputation Disparities in Black and White participants.",diab-118,diabetes
Nutrient sensing and their impact on diabetes  and cardiometabolic diseases,"Diabetes is a polygenic disease, and a multitude of factors contribute to the development of diabetes, including obesity and the built environment. In this proposal, we will investigate the built environment, demographic, and social exposome factors that contribute to T2D…","Scientific Questions Being Studied
Diabetes is a polygenic disease, and a multitude of factors contribute to the development of diabetes, including obesity and the built environment.
In this proposal, we will investigate the built environment, demographic, and social exposome factors that contribute to T2D using the All of Us diverse population database, including neighborhood walkability, parks and recreation, access to food, obesity, meal preparation, access to transportation, race and ethnicity, age, zip code, and access to health care (Aim 1). We will address the possible mechanistic insights into nutrient-sensing mechanisms that may contribute to the development of diabetes and cardiometabolic diseases (Aim 2).","Project Purpose(s)
Disease Focused Research (type 2 diabetes and cardiometabolic diseases)","Scientific Approaches
Aim 1: We will study the data from participants with Type 2 diabetes and compare it to data from participants without type 2 diabetes from All of Us. Data from All of Us participants will be obtained from survey questions. We will investigate factors that contribute to diabetes at the population level, such as the built environment, including neighborhood walkability, parks and recreation, access to food, obesity, meal preparation, access to transportation, race and ethnicity, age, zip code, and access to health care. Descriptive statistics will be calculated. Multivariable analysis, risk ratio, and regression models will be applied to assess the risk associations.
Aim 2: We will use the subset of data from All of Us participants with or without Type 2 Diabetes with available whole genome sequences to identify nutrient-sensing mTOR variants in both males and females across all ethnicities. First, we will identify population-level genetic variations in mTOR proteins.","Anticipated Findings
Aim 1: Findings from these studies will identify the food access, built environment, and access social, demographic, and environmental factors that are associated with type 2 diabetes mellitus and thus provide rational and justifications for public health policy changes for harm reduction from the build environment exposure on the development of type 2 diabetes.
Aim 2: We expect to verify whether there are mTOR-specific variants that could be used as predictive of type 2 diabetes or hold the promise of mapping out a favorable response to treatment. The findings might help identify mTOR variants that are either protective or elevated risk for the development of diabetes.
Collectively, data from this work will provide an understanding of the contributors of the exposome that lead to the development of type 2 diabetes and increased cardiometabolic risk, which could be utilized clinically to map out personalized precision-medicine plans.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Ghada  Soliman
- Other, City University of New York (CUNY)
Collaborators:
Aritz Irizar - Early Career Tenure-track Researcher, Icahn School of Medicine at Mount Sinai","Nutrient sensing and their impact on diabetes  and cardiometabolic diseases Diabetes is a polygenic disease, and a multitude of factors contribute to the development of diabetes, including obesity and the built environment. In this proposal, we will investigate the built environment, demographic, and social exposome factors that contribute to T2D…",diab-119,diabetes
Duplicate of Communities of Color - UNCG,The purpose of this research is to analyze All of Us data to identify and determine what factors are associated with physical and mental wellbeing for communities of color who have historically underrepresented in biomedical research. Research Question 1: Do…,"Scientific Questions Being Studied
The purpose of this research is to analyze All of Us data to identify and determine what factors are associated with physical and mental wellbeing for communities of color  who have historically underrepresented in biomedical research.
Research  Question 1:  Do  Communities of Color (COC) have different Social Determinants of Health and levels of chronic disease, mental health issues, and quality of life than Whites in the All of Us study?
Research Question 2:  Are Social Determinants of Health associated  with physical (cardiovascular disease, obesity, diabetes, cancer) and mental health outcomes (stress, anxiety, depression), and if the association(s) depend upon Communities of Color versus  White populations?
Research Question 3: Are Social Determinants of Health associated with quality of life, and if the association is moderated by Communities of Color versus White population?","Project Purpose(s)
Social / Behavioral","Scientific Approaches
This project will be a secondary analysis of data All of Us Research hub for Communities of Color.  The  database sample  will consist of approximately 163,320, we will extract a project sample that includes African American, Hispanic/Latino and Asian Americans in proportions consistent with national demographics including gender, race, ethnicity, and age.","Anticipated Findings
The specific findings will identify specific SDOH related to specific health outcomes and how the SDOH risk is different between the COC groups. This study will advance the scientific knowledge by closing the gap in the literature for factors associated with wellbeing for COC specifically in physical and mental wellbeing as related to SDOH. Information from this research will better inform future research and wellbeing interventions. This will provide a foundation for further study and developing risk management, health promotion, and health maintenance interventions that are culturally tailored for COC.","Demographic Categories of Interest
Race / Ethnicity
Age
Others","Data Set Used
Registered Tier","Research Team
Owner:
Amber Vermeesch
- Mid-career Tenured Researcher, University of North Carolina, Greensboro
Collaborators:
Whitney Schutz - Graduate Trainee, University of North Carolina, Greensboro
Thomas McCoy - Project Personnel, University of North Carolina, Greensboro
Crystal Epstein - Early Career Tenure-track Researcher, University of North Carolina, Greensboro",Duplicate of Communities of Color - UNCG The purpose of this research is to analyze All of Us data to identify and determine what factors are associated with physical and mental wellbeing for communities of color who have historically underrepresented in biomedical research. Research Question 1: Do…,diab-120,diabetes
AACN: AoU Dyad--Treatment of T2D in PWH,"Human Immunodeficiency Virus (HIV) and type 2 diabetes (T2D) alone disproportionately affect minority populations. While rates of T2D among all races living with HIV have been reported, no data on the prevalence of the comorbid conditions - T2D and HIV-…","Scientific Questions Being Studied
Human Immunodeficiency Virus (HIV) and type 2 diabetes (T2D) alone disproportionately affect minority populations. While rates of T2D among all races living with HIV have been reported, no data on the prevalence of the comorbid conditions - T2D and HIV- among minority people with HIV (PWH) are available. Similarly, while it is known that people living with comorbid diseases struggle to maintain positive health outcomes, the impact of comorbid HIV and T2D on glycemic outcomes among minorities is unknown. Achieving positive glycemic outcomes necessitates adherence to recommended treatment guideline. While data suggest that minority populations have lower adherence to treatment guidelines than white, the rate of adherence to prescribing recommended diabetes medications among PWH who have T2D and HIV are not known.","Project Purpose(s)
Population Health","Scientific Approaches
Data for participants meeting the following criteria will be extracted from the All of Us database:
1) Diabetes cohort: participants with any one of the following:
a. Diabetes diagnosis: Type 2 diabetes or ICD9/ICD10 codes: T2DM 250.x0, 250.x2, E11
b. Hemoglobin A1c > 6.5%
2) HIV cohort: participants with any one of the following:
a. HIV diagnosis or ICD9/ICD10 codes: 42, 79.53, 795.71, V08 O98.7, O98.71, O98.711,
O98.712, O98.713, O98.719, O98.72, O98.73, B20, B97.35, Z21, B24 (ICD10-CA), Z21
(ICD10-CA)
Demographic data to be extracted include: sex at birth, race/ethnicity, age, and marital status. Environmental data to be extracted include: insurance type. Medication data to be extracted include: biguanides (metformin) SGLT-2i, GLP-1 ra and insulin.
Data analysis will be conducted with R programming language. For all analyses, a 2-sided p-value of 5% or less will be considered statistically significant.","Anticipated Findings
The findings from this study will determine the prevalence of comorbid HIV and T2D among participants in the All of Us study. It will further identify differences in T2D medication prescribing practices for persons with T2D only and those with T2D & HIV, as well as the glycemic outcomes for each of the
cohorts. Knowledge of the prevalence of comorbid T2D and HIV will help to inform screening practices among primary care providers. Identification of differences in prescribing will help to inform practice as it relates to adherence to T2D treatment recommendations. It will further help to determine if there are
racial differences in management of comorbid T2D and HIV.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Veronica Brady
- Early Career Tenure-track Researcher, University of Texas Health Science Center, Houston
Samuel Akyirem
- Graduate Trainee, Yale University
Collaborators:
Nikhil Padhye - Teacher/Instructor/Professor, University of Texas Health Science Center, Houston","AACN: AoU Dyad--Treatment of T2D in PWH Human Immunodeficiency Virus (HIV) and type 2 diabetes (T2D) alone disproportionately affect minority populations. While rates of T2D among all races living with HIV have been reported, no data on the prevalence of the comorbid conditions - T2D and HIV-…",diab-121,diabetes
Exploring the Role of Neonatal Diabetes Genes in Common Forms of Diabetes,"The aim of this project is to investigate the role of genetic variants in genes that are known causes of neonatal diabetes on more common forms of diabetes in population cohorts. Variants in several recessive neonatal diabetes genes, such as…","Scientific Questions Being Studied
The aim of this project is to investigate the role of genetic variants in genes that are known causes of neonatal diabetes on more common forms of diabetes in population cohorts.
Variants in several recessive neonatal diabetes genes, such as ONECUT1, PDX1 and RFX6, have been shown to either cause or be a risk factor for adult-onset diabetes.
This will provide new insights into the role these genes play in pancreatic development and function and improve our understanding of all forms of diabetes.","Project Purpose(s)
Disease Focused Research (diabetes mellitus)
Ancestry","Scientific Approaches
In this project, the Regenie analysis pipeline will be used to perform gene burden analysis to test the association between variants in recessive neonatal diabetes genes and adult-onset diabetes. This will make use of the large genetic and health-records datasets available on the All of Us platform.","Anticipated Findings
Using the All of Us population cohort we anticipate that we will identify new associations between neonatal diabetes genes and more common forms of diabetes. This will provide new insights into the role these genes play in pancreatic development and function and improve our understanding of all forms of diabetes.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
James Russ-Silsby
- Graduate Trainee, University of Exeter","Exploring the Role of Neonatal Diabetes Genes in Common Forms of Diabetes The aim of this project is to investigate the role of genetic variants in genes that are known causes of neonatal diabetes on more common forms of diabetes in population cohorts. Variants in several recessive neonatal diabetes genes, such as…",diab-122,diabetes
EHR trends,"We are developing methods to identify temporal patterns in lab test results and physical findings for individuals that develop common diseases, such as type 2 diabetes, hypertension or obesity. We next will develop tools to predict the development of these…","Scientific Questions Being Studied
We are developing methods to identify temporal patterns in lab test results and physical findings for individuals that develop common diseases, such as type 2 diabetes, hypertension or obesity. We next will develop tools to predict the development of these diseases based on the trends in lab test results. This is currently an exploratory analysis to obtain preliminary data to write grants.","Project Purpose(s)
Population Health
Methods Development
Ancestry","Scientific Approaches
For the pilot phase of this project, we will select 200 older individuals (>50 years old), who have at least 10 measurements of standard blood tests and physical findings (heart rate, blood pressure, BMI, ...) and information regarding medication history. We will select 50 individuals for each of the following categories: type 2 diabetes patients; hypertension patients, obesity patients, healthy controls. We will calculate the derivative of each measurement and use it as input for clustering patients based on their measurements.","Anticipated Findings
We anticipate to distinguish at least 4 clusters of patients that have the same disease. While this is a pilot study, we expect to increase the number of individuals to 10,000 for each disease, divide them into training (9,000) and testing (1,000) sets, and to develop machine learning methods to classify them.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Matteo D'Antonio
- Project Personnel, University of California, San Diego
Collaborators:
Robert Greenes - Late Career Tenured Researcher, Arizona State University
Jean Gonzalez - Graduate Trainee, University of California, San Diego","EHR trends We are developing methods to identify temporal patterns in lab test results and physical findings for individuals that develop common diseases, such as type 2 diabetes, hypertension or obesity. We next will develop tools to predict the development of these…",diab-123,diabetes
Genome-wide identification of high risk variants and diabetes,"Most of the GWAS-found associations are located in introns and intergenic regions of the genome. In this project, we use function-based analytical method centered on high-risk variants that encodes frameshifts, stop gains, or splice site disruption. We will identify the…","Scientific Questions Being Studied
Most of the GWAS-found associations are located in introns and intergenic regions of the genome. In this project, we use function-based analytical method centered on high-risk variants that encodes frameshifts, stop gains, or splice site disruption.  We will identify the loss of function genes and type 2 diabetes.","Project Purpose(s)
Disease Focused Research (type 2 diabetes mellitus)","Scientific Approaches
We will use the Exome and VAT data to identify the truncating variants for each gene and each participant. And then will will perform association studies to identify the associations between gene truncation and disease phenotypes.","Anticipated Findings
Discover loss of functions genes that are associated with phenotypes such as type 2 diabetes.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Huan Mo
- Research Fellow, National Human Genome Research Institute (NIH-NHGRI)","Genome-wide identification of high risk variants and diabetes Most of the GWAS-found associations are located in introns and intergenic regions of the genome. In this project, we use function-based analytical method centered on high-risk variants that encodes frameshifts, stop gains, or splice site disruption. We will identify the…",diab-124,diabetes
Duplicate of Type 2 Diabetes and Lipids PRS Current,"It has been estimated that 10.2% of the global population will have diabetes by 2030. PRS combined with non-genetic predictors potentially holds utility for identifying individuals at high risk prior to disease onset, motivating positive health behavior change or repeated…","Scientific Questions Being Studied
It has been estimated that 10.2% of the global population will have diabetes by 2030.  PRS combined with non-genetic predictors potentially holds utility for identifying individuals at high risk prior to disease onset, motivating positive health behavior change or repeated screening for those at high risk, or even guiding therapeutic interventions. The All of Us Research Program is uniquely situated to address these questions and identify opportunities for tailoring prediction across multi-ancestry populations.
Our primary study question is to investigate whether a multi-ancestry T2D PRS will be associated with T2D-related phenotypic risk factors and complications across diverse populations. In particular, we hypothesize that the T2D PRS may help identify individuals at greater risk of developing T2D-related complications. Our secondary study question will investigate whether the effect of the T2D PRS on T2D risk is mediated by T2D risk factors.","Project Purpose(s)
Disease Focused Research (type 2 diabetes mellitus)
Population Health
Ancestry","Scientific Approaches
We will construct a multi-ancestry T2D PRS based on a large multi-ancestry T2D GWAS meta-analysis. We will also construct a PRS based on a recent T2D GWAS meta-analysis that includes a larger number of non-European ancestry individuals. In addition, we will evaluate a genome-wide PRS using recent approaches such as LDPred2, PRS-CSx, and others.
For our primary study question, in analyses stratified by T2D status, we will evaluate the association between the T2D PRS and the T2D-related risk factors and complications using regression models. For our secondary study question, we will evaluate whether the T2D risk factors mediate the effect of the T2D PRS on T2D status. This will be performed using regression models to assess the relationship between 1) the PRS and T2D risk, 2) the PRS and the T2D risk factor, 3) the T2D risk factor and T2D risk, and 4) the PRS and T2D risk while adjusting for the T2D risk factor.","Anticipated Findings
We hypothesize that our T2D PRS may hold prognostic value and help identify individuals at greater risk of developing T2D-related complications. We anticipate that the effectiveness of T2D PRS is context-dependent. The T2D PRS may perform well in predicting T2D risk for diverse populations and may hold potential prognostic value for prediabetes and T2D controls.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Jeffrey Haessler
- Project Personnel, Fred Hutchinson Cancer Research Center
Harriett Fuller
- Research Fellow, Fred Hutchinson Cancer Research Center
Boya Guo
- Graduate Trainee, Fred Hutchinson Cancer Research Center
Burcu Darst
- Early Career Tenure-track Researcher, Fred Hutchinson Cancer Research Center","Duplicate of Type 2 Diabetes and Lipids PRS Current It has been estimated that 10.2% of the global population will have diabetes by 2030. PRS combined with non-genetic predictors potentially holds utility for identifying individuals at high risk prior to disease onset, motivating positive health behavior change or repeated…",diab-125,diabetes
Physical Activity and Diabetic Retinopathy Risk,"How do longitudinal activity measures, as captured by wearable technology like Fitbit, influence the risk of developing diabetic retinopathy in individuals with diabetes? Physical activity is a known modifiable risk factor in the management of diabetes. However, its specific impact…","Scientific Questions Being Studied
How do longitudinal activity measures, as captured by wearable technology like Fitbit, influence the risk of developing diabetic retinopathy in individuals with diabetes?
Physical activity is a known modifiable risk factor in the management of diabetes. However, its specific impact on the development and progression of diabetic retinopathy is less clear. Given the global prevalence of diabetes and its complications, understanding how lifestyle factors like physical activity influence the risk of diabetic retinopathy is crucial for developing targeted prevention strategies.
This study could advance our understanding of how to effectively utilize such technology in chronic disease management and prevention. If a significant association is found, it could lead to more personalized health recommendations for individuals with diabetes, potentially integrating wearable technology into routine care to monitor and encourage physical activity.","Project Purpose(s)
Population Health","Scientific Approaches
All of Us Research Program: Utilize the program’s comprehensive dataset, focusing on individuals with diabetes. The dataset will provide:
Physical Activity Data: Extracted from Fitbit devices, including daily step counts, exercise intensity, and duration.
Diabetic Retinopathy Data: Sourced from electronic health records, detailing the onset, progression, and severity of diabetic retinopathy.
Covariates: Demographic information, diabetes-related metrics (e.g., duration of diabetes, glycemic control), and other health factors.
Retrospective Cohort Study Design: Analyze existing longitudinal data to assess the relationship between physical activity and the risk of developing diabetic retinopathy.
Descriptive Statistics: To summarize participant characteristics and activity patterns.
Regression Analysis: Employ logistic regression or Cox proportional hazards models to determine the association between activity levels and diabetic retinopathy risk, adjusting for potential confounders","Anticipated Findings
Physical Activity's Impact: Expect to identify specific activity patterns that correlate with reduced diabetic retinopathy risk in diabetics.
Risk Quantification: Aim to quantify how much physical activity mitigates this risk, potentially finding beneficial activity thresholds.
Subgroup Variations: The study may reveal differences in activity-retinopathy associations across demographics and diabetes types.
Prevention Insights: Findings could enhance understanding of lifestyle factors in diabetic retinopathy prevention
Public Health: Results could inform public health recommendations, emphasizing physical activity in diabetes care.
Wearable Tech: Using Fitbit data demonstrates wearable technology's potential in chronic disease management.
Clinical Practice Guidance: Findings might help healthcare providers advise diabetic patients on physical activity for eye health.
Highlighting Health Disparities: Exploring subgroup differences could uncover disparities in diabetic retinopathy risk","Demographic Categories of Interest
Race / Ethnicity
Age
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Jaffer Shah
- Project Personnel, Cornell University","Physical Activity and Diabetic Retinopathy Risk How do longitudinal activity measures, as captured by wearable technology like Fitbit, influence the risk of developing diabetic retinopathy in individuals with diabetes? Physical activity is a known modifiable risk factor in the management of diabetes. However, its specific impact…",diab-126,diabetes
Researcher_diabetes,I want to study the genetic factors that could contribute to type 1 diabetes in different races. I also want to see if I can use these genetic markers to design a machine learning model to predict if an individual…,"Scientific Questions Being Studied
I want to study the genetic factors that could contribute to type 1 diabetes in different races. I also want to see if I can use these genetic markers to design a machine learning model to predict if an individual could develop Type 1 diabetes.","Project Purpose(s)
Educational","Scientific Approaches
I am going to identify patients with Type 1 diabetes and do GWAS analysis on these patients based on their race to identify the biomarkers. These biomarkers will then be used with race to create a predictive model to identify patients with Type 1 diabetes.","Anticipated Findings
Detect the biomarkers that could help in creating machine learning model to identifying type 1 diabetes patients.","Demographic Categories of Interest
Race / Ethnicity
Sex at Birth","Data Set Used
Controlled Tier","Research Team
Owner:
Yashu Vashishath
- Graduate Trainee, University of North Texas
Yashu Vashishath
- Graduate Trainee, University of North Texas",Researcher_diabetes I want to study the genetic factors that could contribute to type 1 diabetes in different races. I also want to see if I can use these genetic markers to design a machine learning model to predict if an individual…,diab-127,diabetes
AANHPI Depression,What is the prevalence of new depression diagnoses in elderly Asian American patients with diabetes compared to the general population?,"Scientific Questions Being Studied
What is the prevalence of new depression diagnoses in elderly Asian American patients with diabetes compared to the general population?","Project Purpose(s)
Disease Focused Research (Type 2 diabetes, depression)
Population Health
Social / Behavioral","Scientific Approaches
We will analyze the relationship between diabetes and depression in the elderly while accounting for socioeconomic status, education level, health insurance status, zip code, and language. We will also be taking care to look at how AANPI populations in particular relate to this issue.","Anticipated Findings
We anticipate identifying disparities with depression within the AANHPI population who have diabetes. This could potentially highlight an important public health area of focus on mental health in populations that, by in large, are less likely to receive adequate mental health care.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Christopher Doan
- Graduate Trainee, University of Texas Medical Branch (UTMB) at Galveston",AANHPI Depression What is the prevalence of new depression diagnoses in elderly Asian American patients with diabetes compared to the general population?,diab-128,diabetes
Personal predictors of gestational diabetes and pregnancy outcomes,This project aims to investigate modifiable lifestyle factors that are predictive of pregnancy outcomes in individuals with gestational diabetes. We will investigate physical activity as the primary predictor. We will also compare prevalence estimates among those with vs without gestational…,"Scientific Questions Being Studied
This project aims to investigate modifiable lifestyle factors that are predictive of pregnancy outcomes in individuals with gestational diabetes. We will investigate physical activity as the primary predictor. We will also compare prevalence estimates among those with vs without gestational diabetes. The second aim of the project is to investigate these questions among those with co-morbid polycystic ovarian syndrome (PCOS) and gestational diabetes. The findings from the analyses will provide updated, novel findings on the relationship between objectively-estimated, longitudinal, and granular physical activity patterns and pregnancy outcomes among those with increased risk for adverse outcome. Third, we will assess access to care and insurance status as potential moderators.","Project Purpose(s)
Disease Focused Research (gestational diabetes, PCOS)
Population Health
Social / Behavioral","Scientific Approaches
We will use the data from the EHRs, physical activity data from fitbits, and self-report health surveys (baseline health and medical history).
We will use the additive generalized models with unsupervised learning to identify potential latent profiles of activity patterns. We will use standard mixed effects regression models and depending on data availability causal inference modeling to assess the predictors of pregnancy outcomes in our defined cohort.","Anticipated Findings
We hypothesize that engaging in sufficient dose of regular physical activity will be a protective factor against adverse pregnancy outcomes in all patient groups, independent of disease and co-morbidity status. We furthermore expect to observe a dose-response in this relationship.
We anticipate that the overall physical activity volume will be higher among those without gestational diabetes (vs those with the diagnosis). We expect similar patterns for PCOS, though to a lesser magnitude.","Demographic Categories of Interest
Access to Care","Data Set Used
Registered Tier","Research Team
Owner:
Ipek Ensari
- Early Career Tenure-track Researcher, Icahn School of Medicine at Mount Sinai
Collaborators:
Brianna  Gibbs - Graduate Trainee, Icahn School of Medicine at Mount Sinai",Personal predictors of gestational diabetes and pregnancy outcomes This project aims to investigate modifiable lifestyle factors that are predictive of pregnancy outcomes in individuals with gestational diabetes. We will investigate physical activity as the primary predictor. We will also compare prevalence estimates among those with vs without gestational…,diab-129,diabetes
diabetes & asthma &  etc,Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma.,"Scientific Questions Being Studied
Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma.","Project Purpose(s)
Disease Focused Research (autoimmune diseases)","Scientific Approaches
Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma.","Anticipated Findings
Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
xueting wang
- Graduate Trainee, Yale University",diabetes & asthma &  etc Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma.,diab-130,diabetes
