title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team,combined_text,Extracted Team Info
Postpartum depression long term effects,Postpartum depression (PPD) is a debilitating mental disorder affecting 10-20% of women following the birth of a child. It can have long-term consequences on the mother's physical and mental health and overall well-being. Children of mothers with depression are at…,"Scientific Questions Being Studied
Postpartum depression (PPD) is a debilitating mental disorder affecting 10-20% of women following the birth of a child. It can have long-term consequences on the mother's physical and mental health and overall well-being. Children of mothers with depression are at risk for developmental delays as well as decreased cognitive, social, and emotional skills.
There has been extensive research investigating risk factors associated with postpartum depression; however, there have been few studies exploring the influence that PPD has on long-term maternal outcomes.
This study will focus on future outcomes associated with having had PPD. Our study aims to compare patient-reported mental health status and ability to access mental health resources in a population with a history of PPD.","Project Purpose(s)
Disease Focused Research (postpartum depression)","Scientific Approaches
We plan to do a retrospective matched cohort study using the All of Us Research Program database. Patients with a history of postpartum depression at the time of survey administration will be matched with controls (1:5) based on state of residence, age, and race/ethnicity. We look to investigate differences in how both groups rate their mental health, coping skills, and aspects of resiliency at the time of survey administration. Logistic regression models will be developed to examine the association between the exposure of PPD and patient-reported survey responses regarding mental health outcomes and access to mental health resources.","Anticipated Findings
Anticipated findings include an association with a history of PPD and future mental health disorders such as major depression and decreased scores in self-reported wellbeing outcomes such as resilience. This study will help identify whether experiencing PPD can negatively impact future mental health, coping skills, and resilience. This could provide support for better screening and treatment for PPD and help physicians outside of OBGYN understand future impact of PPD on long-term health.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
M. Elena Rhoads-Baeza
- Early Career Tenure-track Researcher, University of California, Irvine",Postpartum depression long term effects Postpartum depression (PPD) is a debilitating mental disorder affecting 10-20% of women following the birth of a child. It can have long-term consequences on the mother's physical and mental health and overall well-being. Children of mothers with depression are at…,"1. [""Owner""]
2. [""M. Elena Rhoads-Baeza""]
3. [""University of California, Irvine""]"
Covid Mental Health v7,"Our team has been collaborating with ELSA UK and ELSA Brazil cohorts through the International Hundred K+ Cohort Consortium to examine the mental health consequences of the global COVID-19 pandemic in different countries. As the site based in the U.S.,…","Scientific Questions Being Studied
Our team has been collaborating with ELSA UK and ELSA Brazil cohorts through the International Hundred K+ Cohort Consortium to examine the mental health consequences of the global COVID-19 pandemic in different countries. As the site based in the U.S., we decided to use data from the All of Us Research Program as they reflect the remarkable diversity of the U.S. population and provide a unique opportunity to explore risk/protective factors that shape the mental health impact of the pandemic across various sociodemographic contexts.","Project Purpose(s)
Disease Focused Research (disease of mental health)
Population Health
Social / Behavioral","Scientific Approaches
We plan to use a mixed-modeling approach to analyze COPE surveys to estimate the time-varying effects of risk/protective factors on mental health outcomes during the COVID-19 pandemic.","Anticipated Findings
We expect that the findings from our study may help discover new insights into predictors of psychological vulnerability and resilience that may be unique to the period of the COVID-19 pandemic.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Younga Lee
- Research Fellow, Mass General Brigham","Covid Mental Health v7 Our team has been collaborating with ELSA UK and ELSA Brazil cohorts through the International Hundred K+ Cohort Consortium to examine the mental health consequences of the global COVID-19 pandemic in different countries. As the site based in the U.S.,…","1. [""Owner"", ""Research Fellow""]
2. [""Younga Lee""]
3. [""Mass General Brigham""]"
Burden and mental health problems among minority groups,Burden and correlates of chronic disease and mental health problems among minority groups. This scientific question will uncover the mental health problems and chronic disease among minority groups. How much minority group are facing problems due to disparities? What is…,"Scientific Questions Being Studied
Burden and correlates of chronic disease and mental health problems among minority groups. This scientific question will uncover the mental health problems and chronic disease among minority groups. How much minority group are facing problems due to disparities? What is the impact on their life - short and long term (Chronic disease)?","Project Purpose(s)
Population Health
Social / Behavioral
Educational","Scientific Approaches
Within the Cloud-based environment of the Researcher Workbench, I am planning to use R /Python to link and analyze a variety of data types — surveys, physical measurements, EHRs etc.","Anticipated Findings
Burden and correlates of chronic disease and mental health problems among minority groups. This scientific question will uncover the mental health problems and chronic disease among minority groups. How much minority group are facing problems due to disparities? What is the impact on their life - short and long term (Chronic disease)?","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Ravi Batra
- Graduate Trainee, University of Nevada, Las Vegas",Burden and mental health problems among minority groups Burden and correlates of chronic disease and mental health problems among minority groups. This scientific question will uncover the mental health problems and chronic disease among minority groups. How much minority group are facing problems due to disparities? What is…,"1. [""Owner"", ""Graduate Trainee""]
2. [""Ravi Batra"", ""University of Nevada, Las Vegas""]
3. [""University of Nevada, Las Vegas""]"
SDOH Cancer and Distress,"The purpose of this project is to explore what SDOH, mental health, demographic, and lifestyle variables are available in the dataset. I am interested in these variables among people with cancer. I will use my findings for the development of…","Scientific Questions Being Studied
The purpose of this project is to explore what SDOH, mental health, demographic, and lifestyle variables are available in the dataset. I am interested in these variables among people with cancer. I will use my findings for the development of a specific research question.","Project Purpose(s)
Disease Focused Research (cancer)
Population Health
Social / Behavioral","Scientific Approaches
I will be exploring the frequencies for the variables. This will help me calculate a power analysis to determine a sample size for the project that this data will be helping me develop.","Anticipated Findings
At this point, I am doing this t develop a research project that will add to the knowledge base about the role of SOH and psychosocial issues among cancer patients.","Demographic Categories of Interest
Race / Ethnicity
Sex at Birth
Gender Identity
Geography
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Karlynn Brintzenhofeszoc
- Late Career Tenured Researcher, University of Louisville","SDOH Cancer and Distress The purpose of this project is to explore what SDOH, mental health, demographic, and lifestyle variables are available in the dataset. I am interested in these variables among people with cancer. I will use my findings for the development of…","1. [""Owner"", ""Late Career Tenured Researcher""]
2. [""Karlynn Brintzenhofeszoc""]
3. [""University of Louisville""]"
Major Depressive Disorder and Insomnia,"The link between one’s mental health and their sleeping habits is a profound connection which grows even more relevant as scientific observations continue. Of the current 254,700 participants who have contributed their EHR information to the All of Us Research…","Scientific Questions Being Studied
The link between one’s mental health and their sleeping habits is a profound connection which grows even more relevant as scientific observations continue. Of the current 254,700 participants who have contributed their EHR information to the All of Us Research Program Database, an astounding 26.19% (66,700 people) reportedly suffer from Major Depressive Disorder, and 31.76% (80,900 people) reportedly suffer from sleep disorders. By analyzing these two variables through the lens of the AoU Database, a new perspective can be given on these two overlapping populations and new significant correlations can be pinpointed, such as age and gender.","Project Purpose(s)
Disease Focused Research (major depressive disorder)","Scientific Approaches
Using participants’ EHR data, and χ2 analysis, we will gain a broader understanding of the connection between major depressive disorder and sleep disorder on gender and age.","Anticipated Findings
We hypothesize that those suffering from major depressive disorder and sleep disorders will have very similar demographics in terms of age and gender. With these findings, researchers can know a little bit more about the relationship between these two disorders.","Demographic Categories of Interest
Age
Gender Identity
Disability Status","Data Set Used
Registered Tier","Research Team
Owner:
Sydney Hanchett
- Project Personnel, Northwestern University
Katie Puev
- Project Personnel, Northwestern University","Major Depressive Disorder and Insomnia The link between one’s mental health and their sleeping habits is a profound connection which grows even more relevant as scientific observations continue. Of the current 254,700 participants who have contributed their EHR information to the All of Us Research…","1. [""Owner"", ""Project Personnel"", ""Project Personnel""]
2. [""Sydney Hanchett"", ""Katie Puev""]
3. [""Northwestern University"", ""Northwestern University""]"
Cancer and the Environment Revision,The purpose of this workspace is to have a look at any environmental health variables included at the Controlled Tier. Our group hopes to be able to conduct an analysis of the relationship between PM2.5 and cardiometabolic outcomes in the…,"Scientific Questions Being Studied
The purpose of this workspace is to have a look at any environmental health variables included at the Controlled Tier. Our group hopes to be able to conduct an analysis of the relationship between PM2.5 and cardiometabolic outcomes in the AoU dataset, and we will create a new workspace with our research plan once we have a better idea of whether the dataset has the necessary variables to support this project.","Project Purpose(s)
Other Purpose (The purpose of this workspace is to have a look at any environmental health variables included at the Controlled Tier. Our group hopes to be able to conduct an analysis of PM2.5 and cardiometabolic outcomes, and we will create a new workspace with our research plan once we have a better idea of whether the dataset has the necessary variables to support this project. )","Scientific Approaches
Regression analysis and other methods to be determined by the data.
The purpose of this workspace is to have a look at any environmental health variables included at the Controlled Tier. Our group hopes to be able to conduct an analysis of the relationship between PM2.5 and cardiometabolic outcomes in the AoU dataset, and we will create a new workspace with our research plan once we have a better idea of whether the dataset has the necessary variables to support this project.","Anticipated Findings
We hope to gain a better understanding of any associations between environmental PM 2.5 and cardiometabolic outcomes among the All of Us cohort. Such an analysis with a sample of this size would be a novel addition to the environmental health literature.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Maia Griffith
- Project Personnel, University of Chicago
Andrew Craver
- Project Personnel, University of Chicago",Cancer and the Environment Revision The purpose of this workspace is to have a look at any environmental health variables included at the Controlled Tier. Our group hopes to be able to conduct an analysis of the relationship between PM2.5 and cardiometabolic outcomes in the…,"1. [""Owner"", ""Project Personnel"", ""Project Personnel""]
2. [""Maia Griffith"", ""Andrew Craver"", ""Andrew Craver""]
3. [""University of Chicago"", ""University of Chicago"", ""University of Chicago""]"
Hypermobile Ehlers Danlos Syndrome Group Project,We will be conducting a research project on Ehlers Danlos Syndrome. This is a group project assigned to Bio 340 Students at Arizona State University The question we are proposing to research is as follows: What is the impact of…,"Scientific Questions Being Studied
We will be conducting a research project on Ehlers Danlos Syndrome. This is a group project assigned to Bio 340 Students at Arizona State University
The question we are proposing to research is as follows:
What is the impact of patients with Type III Ehlers Danlos Syndrome in terms of mental health?","Project Purpose(s)
Disease Focused Research (type III Ehlers-Danlos syndrome)
Social / Behavioral
Methods Development
Ancestry","Scientific Approaches
We will be looking at demographic information, cross tests of other mental health conditions in those that have hEDS, and other data points that are of interest to us to use in our class project.","Anticipated Findings
We anticipate a good amount of data on anxiety patients, depression, and other mental health concerns that indiduals with hEDS suffer from. Displaying this information on a presentation would hopefully bring awareness to hEDS.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Zachary Witt
- Undergraduate Student, Arizona State University
Kaitlyn Shurr
- Undergraduate Student, Arizona State University
Eladio Albornoz
- Undergraduate Student, Arizona State University",Hypermobile Ehlers Danlos Syndrome Group Project We will be conducting a research project on Ehlers Danlos Syndrome. This is a group project assigned to Bio 340 Students at Arizona State University The question we are proposing to research is as follows: What is the impact of…,"1. [""Owner"", ""Undergraduate Student"", ""Undergraduate Student"", ""Undergraduate Student""]
2. [""Zachary Witt"", ""Kaitlyn Shurr"", ""Eladio Albornoz""]
3. [""Arizona State University"", ""Arizona State University"", ""Arizona State University""]"
Impacts of Vaping on Health,We are interested in understanding the physical and mental health effects of vaping or e-cigarette use.,"Scientific Questions Being Studied
We are interested in understanding the physical and mental health effects of vaping or e-cigarette use.","Project Purpose(s)
Educational","Scientific Approaches
Appropriate statistical analyses will be used to determine if significant differences or relationships exist between the parameters being measured. The All of Us dataset will be used by creating creating concept sets from physical measurements, fitbit step data, and survey data (Basics, Overall Health, Personal Health and SDoH) to look at the impact the social and built environment and socioeconomic status has on physical activity and health.","Anticipated Findings
We expect there to be a correlation between vaping and mental and physical health. There is limited research on vape use on mental and physical health. THis research will address issues concerning youth vape use.","Demographic Categories of Interest
Race / Ethnicity
Geography
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Gaybchoe  Lhamo
- Research Assistant, The Community Health Center
Collaborators:
Katrina Yamazaki - Senior Researcher, The Community Health Center",Impacts of Vaping on Health We are interested in understanding the physical and mental health effects of vaping or e-cigarette use.,"1. [""Owner"", ""Research Assistant"", ""Senior Researcher""]
2. [""Gaybchoe Lhamo"", ""Katrina Yamazaki""]
3. [""The Community Health Center"", ""The Community Health Center""]"
"Frailty, older SGM and PLWH V6","Minority stress theory states, in essence, the more minority identities one possesses the more discrimination and negative events they have experienced and the body reflects these as detriments to physical and mental health. Therefore we seek to identify disparities in…","Scientific Questions Being Studied
Minority stress theory states, in essence, the more minority identities one possesses the more discrimination and negative events they have experienced and the body reflects these as detriments to physical and mental health. Therefore we seek to identify disparities in health and healthcare utilization to motivate change in policy and practice including examining people for frailty and components thereof at earlier ages than is currently recommended.","Project Purpose(s)
Population Health","Scientific Approaches
Epidemiologic approaches for health services research and bot cross-sectional and longitudinal health outcomes research.","Anticipated Findings
We anticipate providing empirical evidence where there is current none or very little with regard to older people with HIV and older sexual and gender minority disparities.","Demographic Categories of Interest
Age
Sex at Birth
Gender Identity
Sexual Orientation","Data Set Used
Controlled Tier","Research Team
Owner:
Brianne Olivieri-Mui
- Early Career Tenure-track Researcher, Northeastern University
Collaborators:
Robert Cavanaugh - Project Personnel, Northeastern University
Michael Wilczek - Research Fellow, Northeastern University
Louisa Smith - Other, Northeastern University
Chelsea Wong - Project Personnel, Hebrew SeniorLife","Frailty, older SGM and PLWH V6 Minority stress theory states, in essence, the more minority identities one possesses the more discrimination and negative events they have experienced and the body reflects these as detriments to physical and mental health. Therefore we seek to identify disparities in…","1. [""Owner"", ""Collaborators""]
2. [""Brianne Olivieri-Mui"", ""Robert Cavanaugh"", ""Michael Wilczek"", ""Louisa Smith"", ""Chelsea Wong""]
3. [""Northeastern University"", ""Northeastern University"", ""Northeastern University"", ""Northeastern University"", ""Hebrew SeniorLife""]"
Mental Health Disorders,Disparities in mental health disorders,"Scientific Questions Being Studied
Disparities in mental health disorders","Project Purpose(s)
Population Health","Scientific Approaches
Biostatistics","Anticipated Findings
This could help raise awareness of the disparity problems in mental health and initiate new ways to better  prevent/treat mental health illness","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Sasimonthakan Tanarsuwongkul
- Graduate Trainee, University of South Carolina
Collaborators:
Maddy Spaulding - Undergraduate Student, University of South Carolina",Mental Health Disorders Disparities in mental health disorders,"1. [""Owner"", ""Graduate Trainee"", ""Undergraduate Student""]
2. [""Sasimonthakan Tanarsuwongkul"", ""Maddy Spaulding""]
3. [""University of South Carolina"", ""University of South Carolina""]"
ASU Sickle cell Research Project,Is there a correlation between negative psychological distress and not receiving blood transfusion treatment in individuals with sickle cell anemia when compared to those who have received the treatment. Does having sickle cell disease/anemia correlate with an any decrease in…,"Scientific Questions Being Studied
Is there a correlation between negative psychological distress and not receiving blood transfusion treatment in individuals with sickle cell anemia when compared to those who have received the treatment. Does having sickle cell disease/anemia correlate with an any decrease in dopamine, serotonin, and/or norepinephrine levels. Understanding the mental health aspect of the disease is important because it can increase awareness and understanding into chronic disease as well as possibly lead to beneficial change in treatment approach in regards to individuals affected by this disease. It can also help decrease stigma related to this disease.","Project Purpose(s)
Disease Focused Research (sickle cell anemia)
Social / Behavioral
Educational","Scientific Approaches
Utilize All of Us research workbench, Google Scholar,  and ASU library. The dataset we plan to explore: the frequency/percentage of people with SCD who receive treatment, of those which individuals what treatments are being utilized. Survey information of how they are feeling pre and post treatment, intensity of serotonin, dopamine, and norepinephrine levels pre and post treatment and well as individuals not treated.I","Anticipated Findings
I would expect individuals receiving treatment will be relatively low compared to other chronic diseases due to the lack of access and specialty care related to SCD. I would also expect positive neurotransmitter levels to be higher in treated patients due to the positive physical effects of the transfusion. I think it would contribute by bringing overall awareness to SCD and reinforce the need specialty treatment.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Sileena Middleton
- Undergraduate Student, Arizona State University",ASU Sickle cell Research Project Is there a correlation between negative psychological distress and not receiving blood transfusion treatment in individuals with sickle cell anemia when compared to those who have received the treatment. Does having sickle cell disease/anemia correlate with an any decrease in…,"1. [""Owner"", ""Undergraduate Student""]
2. [""Sileena Middleton""]
3. [""Arizona State University""]"
Fitbit_mental(depression&anxiety) Single Region,"We will analyze the Fitbit intraday heart rate and step at a minute-level granularity, and explore the correlations between different mental health problems (e.g., depression & anxiety) and the activity data from a wearable tracker. Specifically, we will focus on…","Scientific Questions Being Studied
We will analyze the Fitbit intraday heart rate and step at a minute-level granularity, and explore the correlations between different mental health problems (e.g., depression & anxiety) and the activity data from a wearable tracker. Specifically, we will focus on the following potential directions:
1, is there a correlation between the age and the usage of a wearable tracker?
2, what factors are related to the depression and anxiety? Can we stratify the population with the  disorders with the factors?
3, are the activity patterns from the wearable device correlated to the mental health disorders?
4, Do different mental health disorders (e.g., depressive vs. anxiety) have different activity patterns?
5, Can we build machine learning model with the passive wearable data to predict the mental health disorders?
We hypothesize that the activity patterns are related to the depressive or anxiety.","Project Purpose(s)
Methods Development","Scientific Approaches
We will first utilize some statistical tools to find some correlations between the basic characteristics (e.g., age and sex) and the mental health disorders (e.g., depression & anxiety) . Then we will use the feature engineering techniques developed at CPSL in Washington University to extract some activity features from the Fitbit data. The extracted features will be also correlated with the meatal health disorders with some statistical methods. Finally, we will explore some advanced machine learning techniques to build the predictive models for the mental health disorders.","Anticipated Findings
For this study, we anticipate in exploring the possibilities of applying wearable devices in meatal health studies. Specific, we expect to find:
1,  some activity patterns extracted from Fitbit that are related to the mental health disorders
2, machine learning models utilizing the wearable data (e.g., intraday heart rate, steps, daily summaries) to predict the mental health disorders (e.g., depression & anxiety).
Our machine learning model can potentially help the doctors to find high-risk people with mental health disorders (e.g., depression & anxiety).","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Ruixuan Dai
- Graduate Trainee, Washington University in St. Louis","Fitbit_mental(depression&anxiety) Single Region We will analyze the Fitbit intraday heart rate and step at a minute-level granularity, and explore the correlations between different mental health problems (e.g., depression & anxiety) and the activity data from a wearable tracker. Specifically, we will focus on…","1. [""Owner"", ""Graduate Trainee""]
2. [""Ruixuan Dai""]
3. [""Washington University in St. Louis""]"
Obesity and Mental Health,Is there any relationship exists between Obesity and Mental health of the American Population. What type of correlation exist between these variables?,"Scientific Questions Being Studied
Is there any relationship exists between Obesity and  Mental health of the American Population.  What type of correlation exist between these variables?","Project Purpose(s)
Educational","Scientific Approaches
Data analysis using the tools given in the Workbench.  Are human population  concerned about being obese?","Anticipated Findings
I expect help to understand the relationship between these two variables.  Sure I feel that there is a strong positive correlation exits between obesity and overall mental health.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Sanil Nadar
- Graduate Trainee, University of Florida",Obesity and Mental Health Is there any relationship exists between Obesity and Mental health of the American Population. What type of correlation exist between these variables?,"1. [""Owner"", ""Graduate Trainee""]
2. [""Sanil Nadar""]
3. [""University of Florida""]"
Transgender structural stigma v7,"Transgender populations, comprised of individuals whose gender identity differs from their sex assigned at birth, face substantial mental health and substance use inequities compared with cisgender (i.e., non-transgender) people in the United States. These inequities include heightened risk of psychological…","Scientific Questions Being Studied
Transgender populations, comprised of individuals whose gender identity differs from their sex assigned at birth, face substantial mental health and substance use inequities compared with cisgender (i.e., non-transgender) people in the United States. These inequities include heightened risk of psychological distress, depression, and suicidality, as well as increased binge drinking and substance use disorders, and are driven by high exposure to stigma and discrimination. Though research has consistently linked stigma-related stress at the individual and interpersonal levels to negative mental health and substance use outcomes, fewer studies have assessed structural stigma, defined as the systematic devaluation and marginalization of transgender people. We aim to investigate the association between state-level structural stigma and mental and behavioral health.","Project Purpose(s)
Population Health
Social / Behavioral","Scientific Approaches
We will use data from the All of Us Study to, (1a) among transgender people, investigate the associations between state-level structural stigma and a range of mental health and substance use outcomes, and (1b) among the total sample, investigate whether the association between transgender vs. cisgender identity and these outcomes varies by state-level structural stigma.","Anticipated Findings
We hypothesize that state-level structural stigma is associated with poorer mental and behavioral health outcomes among transgender people, and that state-level structural stigma is also associated with narrower differences in mental and behavioral health outcomes between transgender and cisgender people. We anticipate that these findings will build upon prior research examining structural stigma, to include a broader range of mental health and substance use outcomes.","Demographic Categories of Interest
Gender Identity","Data Set Used
Controlled Tier","Research Team
Owner:
Mai-Han Trinh
- Graduate Trainee, Harvard T. H. Chan School of Public Health","Transgender structural stigma v7 Transgender populations, comprised of individuals whose gender identity differs from their sex assigned at birth, face substantial mental health and substance use inequities compared with cisgender (i.e., non-transgender) people in the United States. These inequities include heightened risk of psychological…","1. [""Owner"", ""Graduate Trainee""]
2. [""Mai-Han Trinh""]
3. [""Harvard T. H. Chan School of Public Health""]"
Group project,in what ways are persons connected to an individual with sickle cell anemia affected by adverse mental health outcomes? Is there a psychosocial impact tied to sickle cell anemia? what are the effects of sickle cell therapies and interventions? Sickle…,"Scientific Questions Being Studied
in what ways are persons connected to an individual with sickle cell anemia affected by adverse mental health outcomes? Is there a psychosocial impact tied to sickle cell anemia? what are the effects of sickle cell therapies and interventions? Sickle Cell Anemia is common, with most patients not disclosing their diagnosis. Understanding mental health in relation to a disease without a specific cure is important because it will allow for awareness, future research, and more sensitivity to the disease--including acts of decreasing the stigma around the disease, such as prevention of microaggressions.","Project Purpose(s)
Educational
Other Purpose (Personal interest out of losing someone to sickle cell anemia )","Scientific Approaches
All of us research workbench, Google Scholar, ASU library database The statistical datasets we hope to explore are: the frequency/percentage of people with sickle cell disease that go to therapy, the frequency/percentage of people connected to individuals with sickle cell disease/anemia, & what frequency/percentage of them go to therapy due to being associated with someone with sickle cell anemia? & is the therapy effective? cross-sectional observational study","Anticipated Findings
we expect to find mental health issues related to sickle cell disease--especially depression. People without diseases go through depression, and so the experience of sickle cell disease might be a risk factor for a depressive episode or episodes. we expect the African American population to experience fewer therapeutic tendencies or interventions as cooping for the disease. This is due to a stigma around mental health and a lack of access to mental health resources in the African American community. there is a lack of knowledge and understanding of sickle cell anemia and mental health. Researching this would add to future research towards encouraging therapy and showcasing the positive effects it can have on coping with the disease.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
william virgil
- Undergraduate Student, Arizona State University",Group project in what ways are persons connected to an individual with sickle cell anemia affected by adverse mental health outcomes? Is there a psychosocial impact tied to sickle cell anemia? what are the effects of sickle cell therapies and interventions? Sickle…,"1. [""Owner"", ""Undergraduate Student""]
2. [""William Virgil""]
3. [""Arizona State University""]"
Duplicate of Understanding substance use,"We intend to study substance use and investigate factors that are related to use of various substances or could be affecting the use of various substances, including demographics, physical and mental health, and other social determinants of health.","Scientific Questions Being Studied
We intend to study substance use and investigate factors that are related to use of various substances or could be affecting the use of various substances, including demographics, physical and mental health, and other social determinants of health.","Project Purpose(s)
Disease Focused Research (Substance Use Disorders)
Population Health
Social / Behavioral","Scientific Approaches
We plan on using datasets including all participants, and specifically focusing on individuals in the sample that have used various substances of abuse and/or have substance use disorders in the EHR. The databases we plan on using will include numerous physical and mental health, social determinants of health, and various other medical variables to assess the relationship between substance use and other factors, such as stress.","Anticipated Findings
Understanding substance use is of critical importance in the United States. If we are able to study and understand prevalence of substance use in the population, we can work with clinics around the US in providing resources and materials to best help those suffering from substance use disorders.","Demographic Categories of Interest
Sexual Orientation
Others","Data Set Used
Controlled Tier","Research Team
Owner:
Stephen Lippi
- Research Fellow, University of Texas Health Science Center, San Antonio
Matthew Perez
- Project Personnel, University of Texas Health Science Center, San Antonio","Duplicate of Understanding substance use We intend to study substance use and investigate factors that are related to use of various substances or could be affecting the use of various substances, including demographics, physical and mental health, and other social determinants of health.","1. [""Owner"", ""Research Fellow"", ""Project Personnel""]
2. [""Stephen Lippi"", ""Matthew Perez""]
3. [""University of Texas Health Science Center, San Antonio"", ""University of Texas Health Science Center, San Antonio""]"
"Duplicate of COVID, Discrimination, and Resilience","Researcher have shown that there was an increase in discrimination some points of the COVID-19 pandemic. Many researchers have suggested a myriad of reasons why this may be. However, it remains unclear what the correlates and distribution of discrimination experiences…","Scientific Questions Being Studied
Researcher have shown that there was an increase in discrimination some points of the COVID-19 pandemic. Many researchers have suggested a myriad of reasons why this may be. However, it remains unclear what the correlates and distribution of discrimination experiences were for different groups of people. In addition, it is unknown how these experiences increased or decreased during high points in the pandemic. Lastly, it is unclear how social isolation and the disruption in human connection (e.g. with family, friends, etc.) may have been associated with the mental health effects of discrimination during the pandemic. This is of considerable public health significance because we must not only address the mental health needs of those in need, but understand the specific correlates of mental health, such as discrimination, to prevent such an uptick in mental health distress due to discrimination during the next pandemic.","Project Purpose(s)
Social / Behavioral","Scientific Approaches
I plan on using the COPE data source from May 2020-February 2021 to examine changes in experiences of discrimination, social isolation, human connection, and mental health. I will utilize hierarchical linear models to asses random and fixed effects, as well as potential mediators and moderators. The COPE has questions related to discrimination experiences in each wave, family connections, social isolation, and mental health. I will also utilize the main survey to access basic sociodemographic information (e.g. race/ethnicity, age, socio economic status, etc.) to utilize as covariates in my analyses.","Anticipated Findings
Based on the extant research literature, I believe that we will find that there is a general uptick in perceived discrimination during COVID. In addition, we hypothesize that as discrimination experiences increase, so does poor mental health. We also hypothesize that social isolation will mediate the longitudinal relationship between perceived discrimination and perceive social isolation and perceived mental health. Lastly, we hypothesize a mediated-moderated model whereby those with perceived positive human connections who experience greater discrimination will report less social isolation and thus less poor mental health compared to those with perceived negative human connections who experience greater discrimination.","Demographic Categories of Interest
Race / Ethnicity
Sex at Birth
Gender Identity
Sexual Orientation
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Stephanie Cook
- Early Career Tenure-track Researcher, New York University
Emma Risner
- Graduate Trainee, New York University
Antoneta Karaj
- Graduate Trainee, New York University","Duplicate of COVID, Discrimination, and Resilience Researcher have shown that there was an increase in discrimination some points of the COVID-19 pandemic. Many researchers have suggested a myriad of reasons why this may be. However, it remains unclear what the correlates and distribution of discrimination experiences…","1. [""Owner"", ""Graduate Trainee"", ""Graduate Trainee""]
2. [""Stephanie Cook"", ""Emma Risner"", ""Antoneta Karaj""]
3. [""New York University"", ""New York University"", ""New York University""]"
Impacts of Physical Activity and Nutrition on Health,"Some of the specific questions we intend to study are: Are there significant differences between Blacks and Latinos in regard to physical activity and nutrition, Are there any barriers that prevent access to proper nutrition and physical activity, and What…","Scientific Questions Being Studied
Some of the specific questions we intend to study are: Are there significant differences between Blacks and Latinos in regard to physical activity and nutrition, Are there any barriers that prevent access to proper nutrition and physical activity, and What are the impacts on adverse health for depression and anxiety? These three questions are important for understanding if race is a factor in health disparities, and how we can promote better nutrition and more physical activity across communities in East Los Angeles. After doing a literature review on several different articles related to nutrition and physical activity, some of the gaps in the findings included factors that affect nutritional intake and physical activity the most, and the impacts that they can have on mental health. As it’s not well understood how physical health can impact mental health, the three questions are relevant for decreasing health disparities and increasing awareness for better physical and mental health.","Project Purpose(s)
Educational","Scientific Approaches
Appropriate statistical analyses will be used to determine if significant differences or relationships exist between the parameters being measured. The All of Us dataset will be used by creating creating concept sets from physical measurements, fitbit step data, and survey data (Basics, Overall Health, Personal Health and SDoH) to look at the impact the social and built environment and socioeconomic status has on physical activity and health.","Anticipated Findings
We anticipate finding a positive relationship between high income Black and Latino households and proper access to nutrition and physical activity. We also anticipate finding behavior and low income to be some of the major causes for barriers that prevent proper nutrition and physical activity for Blacks and Latinos. Finally, we anticipate finding an increased risk of depression and anxiety as a result of poor nutrition and physical activity.  By identifying any barriers that hinder access to proper nutrition and physical activity, our findings would contribute to the body of scientific knowledge by helping in creating behavioral interventions and policies for improved nutrition and physical activity in Black and Latino households, specifically in East Los Angeles.","Demographic Categories of Interest
Race / Ethnicity
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Alexis Nebrensky
- Undergraduate Student, California State University Los Angeles","Impacts of Physical Activity and Nutrition on Health Some of the specific questions we intend to study are: Are there significant differences between Blacks and Latinos in regard to physical activity and nutrition, Are there any barriers that prevent access to proper nutrition and physical activity, and What…","1. [""Owner"", ""Undergraduate Student""]
2. [""Alexis Nebrensky""]
3. [""California State University Los Angeles""]"
